
**`@when` data outside of date coverage range of parent _FRUS_ volume**

Outlier data in `@when` | Frequency | Issue | Date Entries | Volume Coverage Dates | URIs
 1943-01-09T21:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 9, 1943—9 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v06/d364</li></ul>
 1943-01-10 | 1 | `@when` outside of volume date range | <ul><li>January 10, 1943</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d332</li></ul>
 1943-01-11 | 1 | `@when` outside of volume date range | <ul><li>January 11, 1943</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v04/d137</li></ul>
 1943-01-12T18:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 12, 1943—6 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v05/d687</li></ul>
 1943-01-13 | 1 | `@when` outside of volume date range | <ul><li>January 13, 1943</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d333</li></ul>
 1943-01-18T14:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 18, 1943—2 p.m.</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d434</li></ul>
 1943-02-04 | 1 | `@when` outside of volume date range | <ul><li>4 February 1943</li></ul> | <ul><li>1941</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1941-43/d378</li></ul>
 1943-03-22 | 1 | `@when` outside of volume date range | <ul><li>March 22, 1943</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v02/d416</li></ul>
 1943-04-05 | 1 | `@when` outside of volume date range | <ul><li>April 5, 1943</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v03/d652</li></ul>
 1943-05-12T10:00:00 | 1 | `@when` outside of volume date range | <ul><li>May 12, 1943—10 a.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v05/d545</li></ul>
 1943-06-05 | 1 | `@when` outside of volume date range | <ul><li>June 5, 1943</li></ul> | <ul><li>1945</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1945v02/d760</li></ul>
 1943-06-09 | 1 | `@when` outside of volume date range | <ul><li>June 9, 1943</li></ul> | <ul><li>1945</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1945v02/d761</li></ul>
 1943-06-10T09:00:00 | 1 | `@when` outside of volume date range | <ul><li>June 10, 1943—9 a.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v03/d653</li></ul>
 1943-06-23T11:00:00 | 1 | `@when` outside of volume date range | <ul><li>June 23, 1943—11 a. m.</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v02/d552</li></ul>
 1943-06-26 | 1 | `@when` outside of volume date range | <ul><li>June 26, 1943</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d895</li></ul>
 1943-07-10T18:00:00 | 1 | `@when` outside of volume date range | <ul><li>July 10, 1943—6 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v07/d1380</li></ul>
 1943-08-20 | 1 | `@when` outside of volume date range | <ul><li>August 20, 1943</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d896</li></ul>
 1943-08-22T13:00:00 | 1 | `@when` outside of volume date range | <ul><li>August 22, 1943—1 p.m.</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v03/d602</li></ul>
 1943-09-21 | 1 | `@when` outside of volume date range | <ul><li>September 21, 1943</li></ul> | <ul><li>1948</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1948v03/d659</li></ul>
 1943-09-22 | 1 | `@when` outside of volume date range | <ul><li>September 22, 1943</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v07/d979</li></ul>
 1943-09-25T18:00:00 | 1 | `@when` outside of volume date range | <ul><li>September 25, 1943—6 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d865</li></ul>
 1943-09-28 | 1 | `@when` outside of volume date range | <ul><li>September 28, 1943</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d264</li></ul>
 1943-09-29 | 1 | `@when` outside of volume date range | <ul><li>September 29, 1943</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d898</li></ul>
 1943-10-18T23:00:00 | 1 | `@when` outside of volume date range | <ul><li>October 18, 1943—11 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d265</li></ul>
 1943-10-21 | 1 | `@when` outside of volume date range | <ul><li>October 21, 1943</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d266</li></ul>
 1943-10-22T16:00:00 | 1 | `@when` outside of volume date range | <ul><li>October 22, 1943—4 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v01/d991</li></ul>
 1943-10-23 | 1 | `@when` outside of volume date range | <ul><li>October 23, 1943</li></ul> | <ul><li>1942</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1942v03/d654</li></ul>
 1943-10-27T21:00:00 | 1 | `@when` outside of volume date range | <ul><li>October 27, 1943—9 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d866</li></ul>
 1943-11-04 | 1 | `@when` outside of volume date range | <ul><li>November 4, 1943</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d899</li></ul>
 1943-11-05 | 1 | `@when` outside of volume date range | <ul><li>November 5, 1943</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d267</li></ul>
 1943-11-09T16:00:00 | 1 | `@when` outside of volume date range | <ul><li>November 9, 1943—4 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v06/d771</li></ul>
 1943-11-11 | 1 | `@when` outside of volume date range | <ul><li>November 11, 1943</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d268</li></ul>
 1943-11-13T00:00:00 | 1 | `@when` outside of volume date range | <ul><li>November 13, 1943—midnight</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d867</li></ul>
 1943-11-16 | 1 | `@when` outside of volume date range | <ul><li>November 16, 1943</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v05/d546</li></ul>
 1943-11-26T17:00:00 | 1 | `@when` outside of volume date range | <ul><li>November 26, 1943—5 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d868</li></ul>
 1943-11-29 | 1 | `@when` outside of volume date range | <ul><li>November 29, 1943</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d901</li></ul>
 1943-11-30 | 1 | `@when` outside of volume date range | <ul><li>November 30, 1943</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d269</li></ul>
 1943-12-01 | 1 | `@when` outside of volume date range | <ul><li>December 1, 1943</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v05/d317</li></ul>
 1943-12-04T00:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 4, 1943—midnight</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d869</li></ul>
 1943-12-10T19:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 10, 1943—7 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v03/d1085</li></ul>
 1943-12-13 | 1 | `@when` outside of volume date range | <ul><li>December 13, 1943</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d270</li></ul>
 1943-12-14 | 1 | `@when` outside of volume date range | <ul><li>December 14, 1943</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v05/d1182</li></ul>
 1943-12-15T15:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 15, 1943—3 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v07/d980</li></ul>
 1943-12-16T21:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 16, 1943—9 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v03/d134</li></ul>
 1943-12-17 | 1 | `@when` outside of volume date range | <ul><li>December 17, 1943</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v01/d257</li></ul>
 1943-12-19T23:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 19, 1943—11 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d871</li></ul>
 1943-12-20 | 1 | `@when` outside of volume date range | <ul><li>December 20, 1943</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v02/d872</li></ul>
 1943-12-21T15:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 21, 1943—3 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v07/d1331</li></ul>
 1943-12-22 | 1 | `@when` outside of volume date range | <ul><li>December 22, 1943</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v05/d310</li></ul>
 1943-12-23 | 1 | `@when` outside of volume date range | <ul><li>23 December, 1943</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v05/d1183</li></ul>
 1943-12-24T22:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 24, 1943—10 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v01/d258</li></ul>
 1943-12-28T14:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 28, 1943—2 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v03/d111</li></ul>
 1943-12-28T15:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 28, 1943—3 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v06/d772</li></ul>
 1943-12-28T18:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 28, 1943—6 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v01/d992</li></ul>
 1943-12-29T12:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 29, 1943—noon</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v03/d1086</li></ul>
 1943-12-31T13:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 31, 1943—1 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v07/d795</li></ul>
 1943-12-31T16:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 31, 1943—4 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v07/d444</li></ul>
 1943-12-31T20:00:00 | 1 | `@when` outside of volume date range | <ul><li>December 31, 1943—8 p.m.</li></ul> | <ul><li>1944</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1944v03/d1122</li></ul>
 1944-01-02 | 1 | `@when` outside of volume date range | <ul><li>2 January 1944</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d536</li></ul>
 1944-01-03T09:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 3, 1944—9 a.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v03/d473</li></ul>
 1944-01-03T21:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 3, 1944—9 p.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v04/d1012</li></ul>
 1944-01-05 | 1 | `@when` outside of volume date range | <ul><li>January 5, 1944</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d539</li></ul>
 1944-01-06T11:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 6, 1944—11 a.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943China/d620</li></ul>
 1944-01-06T16:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 6, 1944—4 p.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v04/d749</li></ul>
 1944-01-08 | 1 | `@when` outside of volume date range | <ul><li>8 January 1944</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d542</li></ul>
 1944-01-10 | 1 | `@when` outside of volume date range | <ul><li>January 10, 1944</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d543</li></ul>
 1944-01-12 | 1 | `@when` outside of volume date range | <ul><li>January 12, 1944</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d545</li></ul>
 1944-01-13T19:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 13, 1944—7 p.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v03/d717</li></ul>
 1944-01-15 | 1 | `@when` outside of volume date range | <ul><li>January 15, 1944</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v06/d531</li></ul>
 1944-01-16 | 1 | `@when` outside of volume date range | <ul><li>16 January, 1944</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d548</li></ul>
 1944-01-18 | 1 | `@when` outside of volume date range | <ul><li>January 18, 1944</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v06/d364</li></ul>
 1944-01-19 | 1 | `@when` outside of volume date range | <ul><li>January 19, 1944</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d549</li></ul>
 1944-01-21T17:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 21, 1944—5 p.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v02/d270</li></ul>
 1944-01-24 | 1 | `@when` outside of volume date range | <ul><li>January 24, 1944</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d550</li></ul>
 1944-01-27T10:00:00 | 1 | `@when` outside of volume date range | <ul><li>January 27, 1944—10 a.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v02/d167</li></ul>
 1944-01-29 | 1 | `@when` outside of volume date range | <ul><li>29January1944</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d551</li></ul>
 1944-02-03 | 1 | `@when` outside of volume date range | <ul><li>3 February 1944</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d552</li></ul>
 1944-02-08 | 1 | `@when` outside of volume date range | <ul><li>February 8, 1944</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v03/d82</li></ul>
 1944-02-23 | 1 | `@when` outside of volume date range | <ul><li>23 February 1944</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d553</li></ul>
 1944-03-06 | 1 | `@when` outside of volume date range | <ul><li>March 6, 1944</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d559</li></ul>
 1944-03-07 | 1 | `@when` outside of volume date range | <ul><li>7 March 1944</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d560</li></ul>
 1944-03-09 | 1 | `@when` outside of volume date range | <ul><li>9 March 1944</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943CairoTehran/d561</li></ul>
 1944-03-24T19:00:00 | 1 | `@when` outside of volume date range | <ul><li>March 24, 1944—7 p.m.</li></ul> | <ul><li>1943</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1943v03/d77</li></ul>
 1944-04-03T12:00:00 | 1 | `@when` outside of volume date range | <ul><li>April 3, 1944—noon</li></ul> | <ul><li>1945</li></ul> | <ul><li>https://history.state.gov/historicaldocuments/frus1945v03/d168</li></ul>
